Game Log Initialized for Game 2
Start Time: 20-Dec-2024 (01:12:00.139445)

20-Dec-2024 (01:12:00.505696): 索 7
20-Dec-2024 (01:12:00.505696): 箭 中
20-Dec-2024 (01:12:00.505696): 筒 2
20-Dec-2024 (01:12:00.505696): 萬 9
20-Dec-2024 (01:12:00.505696): 箭 發
20-Dec-2024 (01:12:00.505696): 萬 5
20-Dec-2024 (01:12:00.833466): Player 4 made move: discards a tile: 萬-2
20-Dec-2024 (01:12:00.833466): Original 10 Tiles:
20-Dec-2024 (01:12:00.833466): 索 2
20-Dec-2024 (01:12:00.833466): 筒 3
20-Dec-2024 (01:12:00.834513): 筒 5
20-Dec-2024 (01:12:00.834513): 索 7
20-Dec-2024 (01:12:00.834513): 箭 中
20-Dec-2024 (01:12:00.834513): 筒 2
20-Dec-2024 (01:12:00.834513): 萬 9
20-Dec-2024 (01:12:00.834513): 箭 發
20-Dec-2024 (01:12:00.834513): 萬 5
20-Dec-2024 (01:12:00.834513): 萬 2
20-Dec-2024 (01:12:00.834513): Remaining 9 Tiles
20-Dec-2024 (01:12:00.834513): 索 2
20-Dec-2024 (01:12:00.834513): 筒 3
20-Dec-2024 (01:12:00.834513): 筒 5
20-Dec-2024 (01:12:00.834513): 索 7
20-Dec-2024 (01:12:00.834513): 箭 中
20-Dec-2024 (01:12:00.834513): 筒 2
20-Dec-2024 (01:12:00.834513): 萬 9
20-Dec-2024 (01:12:00.834513): 箭 發
20-Dec-2024 (01:12:00.834513): 萬 5
20-Dec-2024 (01:12:01.122070): Player 4 made move: discards a tile: 筒-2
20-Dec-2024 (01:12:01.122070): Original 10 Tiles:
20-Dec-2024 (01:12:01.122070): 索 2
20-Dec-2024 (01:12:01.122070): 筒 3
20-Dec-2024 (01:12:01.122070): 筒 5
20-Dec-2024 (01:12:01.122070): 索 7
20-Dec-2024 (01:12:01.122070): 箭 中
20-Dec-2024 (01:12:01.122070): 筒 2
20-Dec-2024 (01:12:01.122070): 萬 9
20-Dec-2024 (01:12:01.122070): 箭 發
20-Dec-2024 (01:12:01.122070): 萬 5
20-Dec-2024 (01:12:01.122070): 筒 2
20-Dec-2024 (01:12:01.122070): Remaining 9 Tiles
20-Dec-2024 (01:12:01.122070): 索 2
20-Dec-2024 (01:12:01.122070): 筒 3
20-Dec-2024 (01:12:01.122070): 筒 5
20-Dec-2024 (01:12:01.122070): 索 7
20-Dec-2024 (01:12:01.122070): 箭 中
20-Dec-2024 (01:12:01.122070): 筒 2
20-Dec-2024 (01:12:01.122070): 萬 9
20-Dec-2024 (01:12:01.122070): 箭 發
20-Dec-2024 (01:12:01.122070): 萬 5
20-Dec-2024 (01:12:02.074130): Player 4 made move: discards a tile: 筒-8
20-Dec-2024 (01:12:02.074130): Original 10 Tiles:
20-Dec-2024 (01:12:02.074130): 索 2
20-Dec-2024 (01:12:02.074130): 筒 3
20-Dec-2024 (01:12:02.074130): 筒 5
20-Dec-2024 (01:12:02.074130): 索 7
20-Dec-2024 (01:12:02.074130): 箭 中
20-Dec-2024 (01:12:02.074130): 筒 2
20-Dec-2024 (01:12:02.074130): 萬 9
20-Dec-2024 (01:12:02.074130): 箭 發
20-Dec-2024 (01:12:02.074130): 萬 5
20-Dec-2024 (01:12:02.074130): 筒 8
20-Dec-2024 (01:12:02.074130): Remaining 9 Tiles
20-Dec-2024 (01:12:02.074130): 索 2
20-Dec-2024 (01:12:02.074130): 筒 3
20-Dec-2024 (01:12:02.074130): 筒 5
20-Dec-2024 (01:12:02.074130): 索 7
20-Dec-2024 (01:12:02.074130): 箭 中
20-Dec-2024 (01:12:02.074130): 筒 2
20-Dec-2024 (01:12:02.074130): 萬 9
20-Dec-2024 (01:12:02.074130): 箭 發
20-Dec-2024 (01:12:02.074130): 萬 5
20-Dec-2024 (01:12:03.147545): Player 4 made move: show flower 花-春
20-Dec-2024 (01:12:03.147545): Player 4 made move: discards a tile: 索-4
20-Dec-2024 (01:12:03.147545): Original 10 Tiles:
20-Dec-2024 (01:12:03.147545): 索 2
20-Dec-2024 (01:12:03.147545): 筒 3
20-Dec-2024 (01:12:03.147545): 筒 5
20-Dec-2024 (01:12:03.147545): 索 7
20-Dec-2024 (01:12:03.147545): 箭 中
20-Dec-2024 (01:12:03.147545): 筒 2
20-Dec-2024 (01:12:03.147545): 萬 9
20-Dec-2024 (01:12:03.147545): 箭 發
20-Dec-2024 (01:12:03.147545): 萬 5
20-Dec-2024 (01:12:03.147545): 索 4
20-Dec-2024 (01:12:03.147545): Remaining 9 Tiles
20-Dec-2024 (01:12:03.147545): 索 2
20-Dec-2024 (01:12:03.147545): 筒 3
20-Dec-2024 (01:12:03.147545): 筒 5
20-Dec-2024 (01:12:03.147545): 索 7
20-Dec-2024 (01:12:03.147545): 箭 中
20-Dec-2024 (01:12:03.147545): 筒 2
20-Dec-2024 (01:12:03.147545): 萬 9
20-Dec-2024 (01:12:03.147545): 箭 發
20-Dec-2024 (01:12:03.147545): 萬 5
20-Dec-2024 (01:12:05.047929): Player 4 made move: discards a tile: 箭-白
20-Dec-2024 (01:12:05.047929): Original 10 Tiles:
20-Dec-2024 (01:12:05.047929): 索 2
20-Dec-2024 (01:12:05.047929): 筒 3
20-Dec-2024 (01:12:05.047929): 筒 5
20-Dec-2024 (01:12:05.047929): 索 7
20-Dec-2024 (01:12:05.047929): 箭 中
20-Dec-2024 (01:12:05.047929): 筒 2
20-Dec-2024 (01:12:05.047929): 萬 9
20-Dec-2024 (01:12:05.047929): 箭 發
20-Dec-2024 (01:12:05.047929): 萬 5
20-Dec-2024 (01:12:05.047929): 箭 白
20-Dec-2024 (01:12:05.047929): Remaining 9 Tiles
20-Dec-2024 (01:12:05.047929): 索 2
20-Dec-2024 (01:12:05.047929): 筒 3
20-Dec-2024 (01:12:05.047929): 筒 5
20-Dec-2024 (01:12:05.047929): 索 7
20-Dec-2024 (01:12:05.047929): 箭 中
20-Dec-2024 (01:12:05.047929): 筒 2
20-Dec-2024 (01:12:05.047929): 萬 9
20-Dec-2024 (01:12:05.047929): 箭 發
20-Dec-2024 (01:12:05.047929): 萬 5
20-Dec-2024 (01:12:07.458083): Player 4 made move: discards a tile: 筒-8
20-Dec-2024 (01:12:07.458083): Original 10 Tiles:
20-Dec-2024 (01:12:07.458083): 索 2
20-Dec-2024 (01:12:07.458083): 筒 3
